Interpolation - envelope area,,,,
Txnr,q07_1,q10_2,q15_2,q20_2
0.5,0.195653477218225,0.243966547192354,0.343794964028777,0.356600955794504
1,0.285161870503597,0.398148148148148,0.469814148681055,0.508990442054958
1.5,0.36333932853717,0.480346475507766,0.609322541966427,0.593219832735962
2,0.421402877697842,0.536648745519713,0.688279376498801,0.647371565113501
2.5,0.470503597122302,0.59578853046595,0.747751798561151,0.694384707287933
3,0.531205035971223,0.635334528076464,0.789208633093525,0.729330943847073
3.5,0.576348920863309,0.66836917562724,0.80341726618705,0.765710872162485
4,0.618405275779377,0.688679808841099,0.835161870503597,0.792562724014337
4.5,0.646852517985611,0.713381123058542,0.849700239808153,0.813291517323775
