  section         X    mean y
        1      -440       2.7
        2      -390       3.3
        3      -340       2.7
        4      -290       2.0
        5      -240       1.8
        6      -190       2.2
        7      -140       1.2
        8       -90       1.2
        9       -40       2.2
       10        10       1.3
       11        60       0.7
       12       110       1.5
       13       160       2.4
       14       210       2.2
       15       260       1.1
       16       310       1.4
       17       360       1.2
       18       410       0.0
       19       460      -0.3
       20       510       0.3
       21       560       0.6
       22       610       0.3
       23       660       0.5
       24       710       0.8
       25       760       0.9
       26       810       1.1
       27       860       1.6
       28       910       1.6
       29       960       1.6
       30      1010       2.1
       31      1060       2.6
       32      1110       1.9
       33      1160       1.3
       34      1210       2.2
       35      1260       1.9
       36      1310       1.8
       37      1360       1.9
       38      1410       1.9
       39      1460       1.2
       40      1510       0.7
       41      1560       0.3
       42      1610       1.0
       43      1660       1.2
       44      1710       1.9
       45      1760       1.8
       46      1810       1.1
       47      1860       1.7
       48      1910       1.7
       49      1960       0.7
       50      2010       0.7
       51      2060       0.7
       52      2110      -0.3
       53      2160      -0.6
       54      2210      -0.5
       55      2260      -0.3
       56      2310      -0.8
       57      2360       0.1
       58      2410       0.5
       59      2460      -0.4
       60      2510       0.3
       61      2560       0.4
       62      2610       0.1
       63      2660       0.4
       64      2710       1.2
       65      2760       0.7
       66      2810       0.8
       67      2860       1.4
       68      2910       0.5
       69      2960       0.3
       70      3010       0.6
       71      3060       0.4
       72      3110      -0.2
       73      3160       0.7
       74      3210       1.1
       75      3260       0.5
       76      3310       1.1
       77      3360       1.2
       78      3410       1.0
       79      3460       0.9
       80      3510       1.3
       81      3560       1.0
       82      3610       0.9
       83      3660       1.5
       84      3710       1.3
       85      3760       1.0
       86      3810       1.8
       87      3860       1.4
       88      3910       1.2
       89      3960       1.7
       90      4010       1.4
       91      4060       0.7
       92      4110       0.9
       93      4160       0.3
       94      4210       0.5
       95      4260       0.8
       96      4310       0.6
       97      4360       0.3
       98      4410       1.1
       99      4460       0.7
      100      4510       0.7
      101      4560       1.2
      102      4610       1.0
      103      4660       0.2
      104      4710       0.6
      105      4760       0.3
      106      4810      -0.2
      107      4860       0.7
      108      4910       0.6
      109      4960       0.7
      110      5010       1.1
      111      5060       1.1
      112      5110       0.7
      113      5160       1.1
      114      5210       1.3
      115      5260       0.8
      116      5310       1.4
      117      5360       0.7
      118      5410      -0.1
      119      5460       0.5
      120      5510      -0.2
      121      5560      -0.7
      122      5610       0.2
      123      5660       0.2
      124      5710      -0.4
      125      5760      -0.3
      126      5810      -0.6
      127      5860      -0.8
      128      5910      -0.3
      129      5960      -0.2
      130      6010      -0.2
      131      6060       0.3
      132      6110      -0.6
      133      6160      -1.3
      134      6210      -0.5
      135      6260      -0.6
      136      6310      -0.4
      137      6360       1.0
      138      6410       0.6
      139      6460       0.6
      140      6510       0.2
      141      6560      -0.4
      142      6610      -0.5
      143      6660       0.6
      144      6710       0.4
      145      6760       0.0
      146      6810       0.1
      147      6860       0.0
      148      6910       0.6
      149      6960       0.6
      150      7010      -0.5
      151      7060      -0.6
      152      7110      -0.6
      153      7160      -0.4
      154      7210       0.7
      155      7260       0.8
      156      7310      -0.1
      157      7360       0.1
      158      7410       0.1
      159      7460      -0.5
      160      7510       0.0
      161      7560       0.3
      162      7610      -0.3
      163      7660      -0.1
      164      7710      -0.7
      165      7760      -0.6
      166      7810      -0.1
      167      7860      -0.4
      168      7910      -0.3
      169      7960      -0.3
      170      8010      -1.0
      171      8060      -1.0
      172      8110      -2.3
      173      8160      -2.0
      174      8210      -0.3
      175      8260      -0.7
      176      8310      -0.9
      177      8360      -0.3
      178      8410      -0.6
      179      8460       0.0
      180      8510       1.0
      181      8560       0.7
      182      8610       0.9
      183      8660       1.6
      184      8710       1.0
      185      8760       1.5
      186      8810       1.4
      187      8860       0.9
      188      8910       0.3
      189      8960      -0.2
      190      9010      -1.1
      191      9060      -0.3
      192      9110      -0.6
      193      9160      -0.9
      194      9210      -0.4
      195      9260      -1.1
      196      9310      -1.0
      197      9360      -0.4
      198      9410      -0.9
      199      9460      -0.4
      200      9510      -0.2
      201      9560      -0.6
      202      9610      -0.2
      203      9660      -0.2
      204      9710      -1.1
      205      9760      -1.0
      206      9810      -1.4
      207      9860      -0.6
      208      9910      -0.6
      209      9960      -1.3
      210     10010      -1.1
      211     10060      -1.0
      212     10110      -1.1
      213     10160      -0.6
      214     10210      -0.7
      215     10260      -0.9
      216     10310      -0.9
      217     10360      -1.5
      218     10410      -0.8
      219     10460      -0.6
      220     10510      -0.5
      221     10560      -0.3
      222     10610      -0.8
      223     10660      -1.3
      224     10710      -0.6
      225     10760      -1.3
      226     10810      -1.7
      227     10860      -1.4
      228     10910      -1.6
      229     10960      -1.2
      230     11010      -0.8
      231     11060      -1.3
      232     11110      -0.8
      233     11160      -1.0
      234     11210      -1.4
      235     11260      -0.4
      236     11310      -1.0
      237     11360      -1.2
      238     11410      -0.9
      239     11460      -1.5
      240     11510      -1.6
      241     11560      -1.7
      242     11610      -1.8
      243     11660      -0.8
      244     11710      -1.0
      245     11760      -1.6
      246     11810      -0.9
      247     11860      -1.6
      248     11910      -1.9
      249     11960      -1.6
      250     12010      -1.7
      251     12060      -1.1
