  section         X    mean y
        1      -440       3.1
        2      -390       2.6
        3      -340       2.9
        4      -290       3.7
        5      -240       4.2
        6      -190       3.7
        7      -140       3.5
        8       -90       3.1
        9       -40       3.0
       10        10       2.7
       11        60       2.3
       12       110       3.3
       13       160       2.7
       14       210       3.0
       15       260       3.6
       16       310       3.4
       17       360       3.6
       18       410       3.3
       19       460       3.7
       20       510       3.3
       21       560       3.6
       22       610       3.3
       23       660       3.9
       24       710       4.0
       25       760       3.8
       26       810       4.2
       27       860       3.9
       28       910       4.0
       29       960       3.6
       30      1010       3.0
       31      1060       4.2
       32      1110       3.9
       33      1160       4.0
       34      1210       4.1
       35      1260       4.0
       36      1310       4.5
       37      1360       4.5
       38      1410       4.3
       39      1460       4.4
       40      1510       3.8
       41      1560       4.7
       42      1610       4.5
       43      1660       5.0
       44      1710       3.9
       45      1760       3.1
       46      1810       3.8
       47      1860       3.8
       48      1910       3.9
       49      1960       3.6
       50      2010       2.6
       51      2060       2.5
       52      2110       1.5
       53      2160       1.6
       54      2210       1.7
       55      2260       1.2
       56      2310       1.7
       57      2360       1.3
       58      2410       1.7
       59      2460       1.5
       60      2510       1.8
       61      2560       1.7
       62      2610       1.7
       63      2660       1.5
       64      2710       1.3
       65      2760       1.6
       66      2810       1.2
       67      2860       1.2
       68      2910       0.8
       69      2960       1.0
       70      3010       0.0
       71      3060       0.3
       72      3110       0.2
       73      3160      -0.1
       74      3210      -0.4
       75      3260      -0.3
       76      3310      -0.8
       77      3360       0.0
       78      3410      -0.8
       79      3460       0.1
       80      3510      -0.2
       81      3560       0.3
       82      3610      -0.4
       83      3660      -0.1
       84      3710      -0.5
       85      3760      -0.6
       86      3810      -1.2
       87      3860      -1.9
       88      3910      -1.5
       89      3960      -2.0
       90      4010      -1.2
       91      4060      -1.5
       92      4110      -0.8
       93      4160      -1.1
       94      4210      -0.7
       95      4260      -0.9
       96      4310      -1.2
       97      4360      -1.2
       98      4410      -1.1
       99      4460      -0.7
      100      4510      -0.9
      101      4560      -0.5
      102      4610      -0.9
      103      4660      -0.4
      104      4710      -0.1
      105      4760      -0.6
      106      4810       0.1
      107      4860       0.3
      108      4910       1.6
      109      4960       1.3
      110      5010       2.4
      111      5060       2.1
      112      5110       2.7
      113      5160       2.6
      114      5210       3.1
      115      5260       3.1
      116      5310       2.6
      117      5360       3.5
      118      5410       2.4
      119      5460       3.8
      120      5510       2.5
      121      5560       3.0
      122      5610       3.1
      123      5660       2.6
      124      5710       2.8
      125      5760       2.2
      126      5810       3.0
      127      5860       2.2
      128      5910       2.6
      129      5960       1.6
      130      6010       1.5
      131      6060       2.5
      132      6110       1.1
      133      6160       1.2
      134      6210       1.7
      135      6260       2.1
      136      6310       1.2
      137      6360       1.2
      138      6410       1.0
